"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"1","AQUIFEX_01423",10007.1869831395,5.0997335746773,0.0470443936483428,108.402578483588,0,0,"yes"
"2","AQUIFEX_01759",3032.71540149823,5.14727974714678,0.0878132398724032,58.6162149879223,0,0,"yes"
"3","AQUIFEX_01761",2756.24272092253,4.98755251821326,0.0882107224458968,56.541340779431,0,0,"yes"
"4","AQUIFEX_01731",97.4298438388402,-10.0509019786402,1.45697155381575,-6.89848882246006,5.25586246363053e-12,1.98146014878871e-09,"yes"
"5","AQUIFEX_01740",73.2592606780426,-9.63955034913084,1.45560577669534,-6.62236335102728,3.53500803654993e-11,1.06615842382346e-08,"yes"
"6","AQUIFEX_00001",420.554012043025,-0.000521896644428899,0.109491664004737,-0.0047665422676042,0.996196863917431,0.998423302204163,"no"
"7","AQUIFEX_00002",163.127902959,-0.041246158695272,0.183467145566641,-0.224814958383326,0.822123228825341,0.998423302204163,"no"
"8","AQUIFEX_00004",147.938116391418,0.0663834840550511,0.194038949201462,0.342114221542851,0.732264935270459,0.998423302204163,"no"
"9","AQUIFEX_00005",117.986333270352,-0.125169361326114,0.218854091123014,-0.571930644219755,0.567368962358222,0.998423302204163,"no"
"10","AQUIFEX_00007",194.582592380576,0.136271601098132,0.167475857649013,0.813679075964031,0.415828824037305,0.998423302204163,"no"
"11","AQUIFEX_00008",132.196305239084,0.0354661062776175,0.201268094697075,0.176213255911211,0.860126407028814,0.998423302204163,"no"
"12","AQUIFEX_00010",130.686136996791,0.0907083822225641,0.21098839498792,0.429921191768664,0.667252969413323,0.998423302204163,"no"
"13","AQUIFEX_00011",82.813083446038,0.072383739106341,0.239129324807441,0.302697041296078,0.762120752782115,0.998423302204163,"no"
"14","AQUIFEX_00014",135.956893542335,0.103640880022781,0.201693767867536,0.513852664455393,0.607355004276353,0.998423302204163,"no"
"15","AQUIFEX_00015",114.967881113318,0.133995312772357,0.221211920566688,0.605732785236417,0.544692209499597,0.998423302204163,"no"
"16","AQUIFEX_00016",227.212300058175,-0.0194576806212634,0.147981273407745,-0.131487452251138,0.895389712048942,0.998423302204163,"no"
"17","AQUIFEX_00017",243.20492358765,0.00586982372137355,0.143501115185395,0.0409043770411825,0.96737212799542,0.998423302204163,"no"
"18","AQUIFEX_00019",200.019360374447,0.0457843022286225,0.164508163237904,0.278310214687714,0.780774235571047,0.998423302204163,"no"
"19","AQUIFEX_00021",94.2907422995078,-0.058080289567858,0.238098277986126,-0.243934101746181,0.807281857416842,0.998423302204163,"no"
"20","AQUIFEX_00022",357.689565960707,0.0149369179988501,0.118567929030955,0.125977725350592,0.899749556678643,0.998423302204163,"no"
"21","AQUIFEX_00023",86.3128183677349,-0.214050107131865,0.24393744160392,-0.877479511650437,0.380226242465901,0.998423302204163,"no"
"22","AQUIFEX_00024",248.955831846508,0.228849787015044,0.146368110434158,1.56352217936154,0.117929823043038,0.998423302204163,"no"
"23","AQUIFEX_00025",253.97950825519,0.0996010834978731,0.146971954495923,0.677687684289698,0.497969736789897,0.998423302204163,"no"
"24","AQUIFEX_00026",298.838412471634,-0.127105680350782,0.130793451968344,-0.971804615888151,0.331147759087637,0.998423302204163,"no"
"25","AQUIFEX_00027",254.90124429047,0.00273153219762535,0.138426522284674,0.0197327228376652,0.984256586807813,0.998423302204163,"no"
"26","AQUIFEX_00028",94.7730081450077,0.0330019161425095,0.240017458639437,0.13749798172843,0.890637187941719,0.998423302204163,"no"
"27","AQUIFEX_00029",106.232613758921,-0.0381977106437769,0.22981748012064,-0.16620890031396,0.867992555434545,0.998423302204163,"no"
"28","AQUIFEX_00030",178.60455565179,-0.117915071900002,0.177480167904281,-0.66438449598265,0.506444253324013,0.998423302204163,"no"
"29","AQUIFEX_00031",111.768187986196,0.209536585270801,0.223838966628248,0.936104148563189,0.349219567276498,0.998423302204163,"no"
"30","AQUIFEX_00032",250.909988153959,0.146178209143588,0.140193236013962,1.04269088366738,0.297091481414801,0.998423302204163,"no"
"31","AQUIFEX_00034",147.145692115488,0.0319509269637589,0.19215801978281,0.1662742309682,0.867941144448737,0.998423302204163,"no"
"32","AQUIFEX_00035",248.901526613035,0.10092444764235,0.141462594484321,0.713435576452234,0.475576265011591,0.998423302204163,"no"
"33","AQUIFEX_00036",103.780777352788,0.0586151620146656,0.233748811919985,0.25076132594304,0.801998643780001,0.998423302204163,"no"
"34","AQUIFEX_00037",184.549237519499,0.158592319715769,0.174534852444415,0.90865702462651,0.363531195621282,0.998423302204163,"no"
"35","AQUIFEX_00039",478.607839985474,-0.107088285749334,0.1045500454422,-1.02427775422189,0.305704102171451,0.998423302204163,"no"
"36","AQUIFEX_00040",172.083210553108,0.00259437752021092,0.180821265794096,0.0143477455973855,0.988552548064752,0.998423302204163,"no"
"37","AQUIFEX_00041",210.77272432398,0.0199381013478507,0.156136726122082,0.127696422507676,0.898389221340409,0.998423302204163,"no"
"38","AQUIFEX_00042",119.223321359457,-0.0334201497278261,0.213505966295864,-0.156530284879788,0.875615049570256,0.998423302204163,"no"
"39","AQUIFEX_00043",154.453112436262,0.110712654267062,0.199400722160201,0.555226947363382,0.57873943923293,0.998423302204163,"no"
"40","AQUIFEX_00044",86.7989721543944,0.0193598322000951,0.238953378721434,0.0810192862879094,0.935426614685123,0.998423302204163,"no"
"41","AQUIFEX_00045",118.743944749654,0.0515398098322435,0.21579283748326,0.238839298066331,0.811230196453359,0.998423302204163,"no"
